bbl,events_prev_year,label,snapshot_year
1004500035,2,0,2021
3050310006,1,0,2021
3051720023,1,0,2021
1016290062,1,0,2022
2025800011,1,0,2022
2030500016,1,0,2022
2033260001,2,0,2022
3012170012,1,0,2022
3012960052,2,0,2022
3048530086,1,0,2022
3053520047,1,0,2022
3060060037,1,0,2022
3079940058,1,0,2022
unknown,2,1,2022
2031050057,1,0,2023
unknown,3,1,2023
unknown,4,0,2024
